id,title,description,price_cents,diet_type,sugar,calories,fat,protein,fiber,carbohydrates,sodium,allergen_name
0,شاورما الدجاج,شرائح دجاج مشوية مع الثوم وصلصة الطحينة وخبز بيتا,28000,balanced,4.0,894.0,37.0,63.0,8.0,76.0,690.0,Gluten
1,مسخن,دجاج مع خبز طابون، بصل، وزيت الزيتون,35000,balanced,6.0,1221.0,42.0,84.0,9.0,126.0,1249.0,Gluten
2,حمص بطحينة,حمص مهروس مع طحينة، زيت زيتون، وليمون,12000,vegan,10.0,917.0,61.0,27.0,19.0,70.0,75.0,Sesame
3,مقلوبة الباذنجان,أرز مع باذنجان مقلي ولحم ضأن,42000,balanced,11.0,1194.0,75.0,60.0,11.0,70.0,179.0,Gluten
4,سلطة يونانية,خيار، طماطم، بصل، زيتون، وجبنة فيتا,22000,vegetarian,14.0,654.0,57.0,17.0,4.0,22.0,1496.0,Dairy
5,كباب حلة,لحم ضأن مشوي مع بهارات خاصة,48000,low_carb,0.0,999.0,72.0,67.0,5.0,22.0,214.0,Gluten
6,فاصوليا بيضاء بالزيت والليمون,فاصوليا بيضاء مع زيت زيتون وليمون,15000,vegan,1.0,572.0,31.0,19.0,13.0,57.0,22.0,Eggs
7,مشاوي مشكلة,تشكيلة من اللحوم المشوية مع خضار,55000,balanced,7.0,1061.0,70.0,90.0,4.0,18.0,254.0,Gluten
8,بابا غنوج,باذنجان مشوي مع طحينة وليمون,18000,vegetarian,7.0,510.0,41.0,11.0,10.0,29.0,72.0,Sesame
9,شيش طاووق,قطع دجاج مشوية مع بهارات,32000,balanced,0.0,594.0,27.0,67.0,5.0,22.0,182.0,Gluten
10,سلطة خضار مشوية,خضار مشوية مع زيت زيتون وخل بلسمي,25000,vegetarian,13.0,358.0,30.0,4.0,5.0,20.0,25.0,
11,يخنة عدس,عدس بني مع بصل وجزر,18000,vegan,13.0,555.0,21.0,24.0,26.0,76.0,108.0,
12,سمك مشوي,سمك قاروص مشوي مع زيت وليمون,45000,balanced,0.0,438.0,23.0,51.0,2.0,9.0,252.0,Fish
13,مجبوس دجاج,أرز بالزعفران مع دجاج,38000,balanced,0.0,767.0,27.0,70.0,6.0,59.0,181.0,Gluten
14,سلطة كينوا,كينوا مع خضار وليمون,28000,vegetarian,6.0,366.0,18.0,10.0,6.0,44.0,38.0,
15,لحم بعجين,لحم مفروم مع بصل على عجين,35000,balanced,6.0,1218.0,61.0,68.0,8.0,99.0,984.0,Gluten
16,متبل بندورة,بندورة مشوية مع ثوم وزيت زيتون,15000,vegetarian,7.0,268.0,19.0,7.0,5.0,25.0,49.0,
17,كوسا محشي,كوسا محشية بالأرز واللحم,32000,balanced,5.0,602.0,39.0,32.0,5.0,31.0,105.0,
18,فتة حمص,حمص مع خبز مقلي ولبن,22000,vegetarian,11.0,762.0,23.0,35.0,16.0,107.0,614.0,Gluten
19,شيش برك,عجينة محشية باللحم مع لبن,30000,balanced,5.0,1237.0,61.0,77.0,6.0,94.0,1016.0,Gluten
20,سلطة جرجير,جرجير مع رمان وجبنة,20000,vegetarian,18.0,402.0,27.0,13.0,6.0,31.0,611.0,Dairy
21,دولمة ورق عنب نباتي,أوراق عنب محشية بالأرز والخضار,25000,vegan,7.0,510.0,19.0,10.0,6.0,77.0,43.0,
22,كبة نية,كبة نيئة مع برغل ولحم,40000,balanced,2.0,924.0,60.0,59.0,10.0,39.0,186.0,Gluten
23,شوربة عدس,شوربة عدس بني مع بهارات وزيت زيتون,15000,vegan,4.0,443.0,19.0,22.0,18.0,52.0,32.0,Gluten
24,سلطة تبولة,برغل مع بقدونس ونعناع وطماطم,18000,vegetarian,5.0,449.0,30.0,9.0,11.0,39.0,43.0,Gluten
25,مسقعة الباذنجان,باذنجان مشوي مع طماطم وثوم,22000,vegetarian,10.0,378.0,30.0,5.0,8.0,26.0,14.0,
26,كشري,أرز مع عدس ومكرونة وبصل مقلي,20000,vegan,6.0,540.0,18.0,17.0,13.0,78.0,33.0,Gluten
27,محشي ورق عنب,أوراق عنب محشية بالأرز والخلطة,30000,vegetarian,87.0,1202.0,20.0,30.0,38.0,233.0,112.0,Gluten
28,مكدوس الباذنجان,باذنجان محشي بالفلفل الحار والجوز,25000,vegetarian,40.0,693.0,42.0,21.0,37.0,75.0,24.0,Tree Nuts
29,شوربة خضار,خضار مشكلة مع مرق دجاج,16000,balanced,10.0,259.0,16.0,8.0,9.0,26.0,138.0,Dairy
30,سلطة سيزر,خس مع كروتونات وجبنة بارميزان,24000,low_carb,6.0,293.0,25.0,8.0,1.0,8.0,589.0,Dairy
31,ستيك لحم,ستيك لحم ضأن مشوي مع خضار,55000,low_carb,7.0,1205.0,93.0,77.0,4.0,13.0,288.0,Dairy
32,سلمون مشوي,سلمون مشوي مع صلصة ليمون,48000,balanced,0.0,379.0,20.0,48.0,0.0,1.0,220.0,Fish
33,برجر نباتي,برجر مصنوع من الفاصوليا والخضار,28000,vegetarian,9.0,734.0,17.0,29.0,19.0,118.0,557.0,Gluten
34,بيتزا نباتية,عجينة بيتزا مع خضار مشكلة,32000,vegetarian,6.0,685.0,42.0,14.0,8.0,68.0,1281.0,Gluten
35,ساندويش فلافل,فلافل مع خضار وطحينة,18000,vegan,7.0,276.0,18.0,7.0,8.0,27.0,129.0,Sesame
36,شوربة كريمة بروكلي,بروكلي مع كريمة وحليب,22000,vegetarian,5.0,449.0,30.0,9.0,11.0,39.0,43.0,Dairy
37,سلطة كول سلو,كرنب وجزر مع مايونيز,15000,vegetarian,12.0,744.0,49.0,14.0,13.0,69.0,118.0,Dairy
38,محشي كوسا باللحم,كوسا محشية بالأرز واللحم المفروم,35000,balanced,8.0,979.0,72.0,57.0,8.0,27.0,170.0,Gluten
39,مقلوبة لحم,أرز مع لحم ضأن وخضار,45000,balanced,8.0,1046.0,58.0,57.0,6.0,71.0,152.0,Gluten
40,مسحب دجاج,دجاج مشوي مع صلصة طماطم,38000,balanced,3.0,702.0,29.0,97.0,3.0,11.0,252.0,Gluten
41,شوربة لسان عصفور,شوربة لسان عصفور مع مرق دجاج,18000,balanced,0.0,263.0,15.0,3.0,0.0,28.0,1.0,Gluten
42,سلطة الذرة,ذرة مع فلفل أحمر وبصل,16000,vegetarian,19.0,356.0,17.0,8.0,7.0,48.0,36.0,
43,مشبك لحم,لحم ضأن مع بهارات مشكلة,50000,low_carb,0.0,882.0,63.0,75.0,0.0,0.0,216.0,Dairy
44,سوبيا,حلو سوري تقليدي,12000,vegetarian,7.0,975.0,17.0,31.0,11.0,174.0,1693.0,Dairy
45,بقلاوة,حلو تركي تقليدي,15000,vegetarian,87.0,1202.0,20.0,30.0,38.0,233.0,112.0,Gluten
46,كنافة,حلو عربي تقليدي,18000,vegetarian,6.0,511.0,16.0,22.0,17.0,69.0,21.0,Gluten
47,أرز بالحليب,حلو أرز مع حليب وقرفة,10000,vegetarian,9.0,232.0,16.0,5.0,6.0,22.0,27.0,Dairy
48,مهلبية,حلو مصنوع من نشا الحليب,12000,vegetarian,11.0,242.0,17.0,6.0,8.0,24.0,56.0,Dairy
49,قطايف,حلو رمضاني تقليدي,20000,vegetarian,9.0,232.0,16.0,5.0,6.0,22.0,27.0,Gluten
50,معمول,حلو عيد تقليدي,15000,vegetarian,19.0,356.0,17.0,8.0,7.0,48.0,36.0,Gluten
51,زلابية,حلو مقلي مع عسل,12000,vegetarian,12.0,744.0,49.0,14.0,13.0,69.0,118.0,Gluten
52,لقيمات,حلو إماراتي تقليدي,15000,vegetarian,87.0,1202.0,20.0,30.0,38.0,233.0,112.0,Gluten
53,منسف لحم,لحم ضأن مع لبن وجريش وخبز شراك,52000,balanced,8.0,1669.0,69.0,119.0,11.0,142.0,1390.0,Gluten
54,شكشوكة,بيض مع طماطم وفلفل وبصل,18000,vegetarian,12.0,1127.0,32.0,30.0,12.0,179.0,1622.0,Eggs
55,مخلل مشكل,خضار مخللة متنوعة,12000,vegan,9.0,78.0,0.0,3.0,3.0,18.0,11.0,
56,كبدة مشوية,كبدة ضأن مع بهارات وخضار,28000,low_carb,4.0,964.0,70.0,66.0,4.0,16.0,209.0,
57,سلطة الفتوش,خضار مع خبز مقرمش وسومق,19000,vegetarian,7.0,579.0,31.0,12.0,5.0,66.0,571.0,Gluten
58,مشاوي سمك,تشكيلة من الأسماك المشوية,45000,balanced,4.0,410.0,22.0,42.0,4.0,13.0,209.0,Shellfish
59,مسحب لحم,لحم ضأن مع صلصة طماطم,42000,balanced,4.0,1098.0,81.0,79.0,4.0,13.0,249.0,
60,شوربة شعيرية,شوربة شعيرية مع مرق دجاج,15000,balanced,16.0,481.0,5.0,56.0,2.0,53.0,206.0,Gluten
61,سلطة الرمان,جرجير مع رمان وجوز,22000,vegetarian,15.0,544.0,42.0,16.0,12.0,36.0,43.0,Nuts
62,كستناء محمصة,كستناء محمصة مع ملح,15000,vegan,9.0,1158.0,100.0,42.0,24.0,44.0,2.0,Nuts
63,سندويش كبدة,كبدة مشوية مع خضار وخبز,22000,balanced,4.0,1015.0,58.0,60.0,5.0,61.0,684.0,Gluten
64,مشبك دجاج,دجاج مع بهارات مشكلة,35000,low_carb,0.0,684.0,29.0,96.0,2.0,7.0,247.0,
65,سلطة الذرة والحمص,ذرة مع حمص وخضار,20000,vegetarian,17.0,517.0,21.0,18.0,15.0,70.0,34.0,
66,مقلوبة دجاج,أرز مع دجاج وخضار,38000,balanced,0.0,495.0,11.0,93.0,0.0,0.0,222.0,Gluten
67,شوربة عدس أحمر,شوربة عدس أحمر مع بهارات,16000,vegan,4.0,421.0,19.0,21.0,18.0,47.0,29.0,
68,سلطة البطاطا,بطاطا مسلوقة مع مايونيز,17000,vegetarian,5.0,300.0,15.0,4.0,4.0,37.0,15.0,Dairy
69,محشي باذنجان,باذنجان محشي بالأرز واللحم,32000,balanced,14.0,645.0,25.0,36.0,15.0,73.0,107.0,Gluten
70,شوربة فطر,شوربة فطر مع كريمة,22000,vegetarian,6.0,236.0,16.0,16.0,2.0,11.0,46.0,Dairy
71,سلطة الجبنة البيضاء,جبنة بيضاء مع خضار,21000,vegetarian,11.0,563.0,47.0,23.0,1.0,14.0,1681.0,Dairy
72,مشاوي نباتية,خضار مشوي مع بهارات,25000,vegetarian,14.0,375.0,30.0,6.0,9.0,23.0,13.0,
73,شوربة لوبيا,شوربة لوبيا مع بهارات,17000,vegan,4.0,419.0,19.0,19.0,17.0,47.0,35.0,
74,سلطة الكرنب,كرنب مع جزر وليمون,15000,vegetarian,11.0,228.0,15.0,4.0,8.0,23.0,105.0,
75,مجبوس سمك,أرز بالزعفران مع سمك,42000,balanced,0.0,558.0,9.0,56.0,3.0,63.0,247.0,Fish
76,شوربة خضار بالشعيرية,خضار مع شعيرية ومرق,18000,vegetarian,7.0,316.0,15.0,6.0,4.0,39.0,13.0,Gluten
77,سلطة الباذنجان المشوي,باذنجان مشوي مع طماطم,19000,vegetarian,13.0,214.0,15.0,3.0,7.0,19.0,12.0,
78,مشاوي كفتة,كفتة لحم مع بهارات,38000,low_carb,0.0,1071.0,81.0,78.0,2.0,7.0,241.0,
79,شوربة طماطم,شوربة طماطم مع كريمة,16000,vegetarian,11.0,246.0,16.0,13.0,4.0,16.0,51.0,Dairy
80,سلطة الجرجير والمانجو,جرجير مع مانجو وجوز,23000,vegetarian,15.0,544.0,42.0,16.0,12.0,36.0,43.0,Nuts
81,مشاوي جمبري,جمبري مشوي مع بهارات,48000,balanced,13.0,309.0,18.0,6.0,7.0,34.0,37.0,Shellfish
82,شوربة كراث,شوربة كراث مع بطاطا,17000,vegetarian,1.0,272.0,15.0,4.0,8.0,31.0,110.0,Gluten
83,سلطة الكينوا بالرمان,كينوا مع رمان وجوز وخضار ورقية، صلصة ليمون وزيت زيتون,27000,vegetarian,15.0,847.0,60.0,22.0,16.0,67.0,40.0,Tree Nuts
84,شوربة خضار بالشوفان,شوربة خضار مع حبوب الشوفان الكاملة لزيادة الألياف,18000,vegan,9.0,475.0,21.0,16.0,14.0,60.0,131.0,
85,مسقعة الباذنجان النباتية,باذنجان مشوي مع طماطم وثوم وزيت زيتون بدون لحم,22000,vegan,11.0,443.0,33.0,8.0,11.0,35.0,42.0,
86,شيش طاووق بالزبادي,دجاج مشوي متبل بزبادي اليوناني والبهارات,32000,low_carb,3.0,631.0,27.0,76.0,5.0,21.0,215.0,
87,محمصة الخضار بالكركم,خضار مشكلة محمصة مع الكركم وزيت الزيتون,23000,vegan,10.0,276.0,17.0,6.0,11.0,29.0,45.0,
88,سلطة التبولة بالبرغل الأسمر,تبولة تقليدية مع برغل أسمر وبقدونس ونعناع,19000,vegetarian,3.0,429.0,30.0,8.0,10.0,35.0,41.0,
89,يخنة الفاصوليا الخضراء باللحم قليل الدسم,فاصوليا خضراء مع لحم بقري قليل الدهن وطماطم,35000,balanced,10.0,515.0,29.0,41.0,8.0,25.0,141.0,
90,شوربة العدس الأحمر بالزنجبيل,عدس أحمر مع زنجبيل طازج وبهارات دافئة,17000,vegan,4.0,486.0,21.0,22.0,21.0,60.0,37.0,
91,سمك السلمون المشوي بالبهارات العربية,سلمون طازج مشوي مع بهارات عربية وليمون,52000,balanced,0.0,761.0,52.0,59.0,5.0,18.0,179.0,Fish
92,مجبوس الدجاج بالبرغل,برغل مع دجاج مشوي وخضار، بديل صحي للأرز,38000,balanced,0.0,696.0,27.0,71.0,12.0,44.0,187.0,
93,سلطة الجرجير والشمندر,جرجير طازج مع شمندر مسلوق وجبنة فيتا قليلة الدسم,24000,vegetarian,13.0,359.0,26.0,13.0,5.0,21.0,679.0,Dairy
94,شوربة القرع بالكركم,قرع مشوي مع كركم وزنجبيل وحليب جوز الهند,20000,vegan,9.0,480.0,41.0,5.0,6.0,32.0,25.0,Tree Nuts
95,كباب الدجاج بالخضار,قطع دجاج مشوية مع خضار مشوية وبهارات,34000,low_carb,6.0,584.0,25.0,69.0,7.0,20.0,210.0,
96,سلطة الفول الأخضر,فول أخضر مع طماطم وبصل وليمون وزيت زيتون,18000,vegan,8.0,237.0,15.0,6.0,7.0,23.0,19.0,
97,شوربة الشعير بالخضار,شعير كامل مع خضار مشكلة ومرق خضار,19000,vegan,8.0,618.0,20.0,19.0,25.0,98.0,139.0,
98,مسحب السمك بالفرن,سمك قاروص بالفرن مع صلصة طماطم طازجة وأعشاب,45000,balanced,4.0,461.0,23.0,52.0,4.0,14.0,260.0,Fish
99,سلطة الكرنب والجرجير,كرنب وجرجير مع رمان وجوز وصلصة ليمون,21000,vegetarian,11.0,242.0,17.0,6.0,8.0,24.0,56.0,Tree Nuts
100,شوربة الفطر بالشعيرية السمراء,فطر طازج مع شعيرية من القمح الكامل,22000,vegetarian,3.0,406.0,20.0,15.0,9.0,51.0,43.0,
101,دجاج بالكاري والزبادي,دجاج مطهو بزبادي اليوناني وبهارات الكاري,36000,balanced,3.0,612.0,24.0,74.0,11.0,26.0,192.0,
102,سلطة العدس والرمان,عدس مسلوق مع رمان وجوز وخضار ورقية,23000,vegan,17.0,705.0,43.0,29.0,24.0,64.0,33.0,Tree Nuts
103,كوسا محشي بالكينوا,كوسا محشية بالكينوا والخضار بدلاً من الأرز، مع صلصة الطماطم الطازجة,32000,vegetarian,11.0,455.0,21.0,16.0,11.0,55.0,52.0,
104,شوربة الحريرة بالشعير,شوربة مغربية تقليدية مع شعير كامل لزيادة الألياف,19000,vegan,3.0,712.0,22.0,25.0,30.0,111.0,45.0,
105,فتة العدس الأحمر,عدس أحمر مع خبز القمح الكامل المقرمش وزبادي قليل الدسم,25000,vegetarian,6.0,709.0,18.0,37.0,22.0,107.0,48.0,Gluten
106,سمك السردين المشوي بالكركم,سردين طازج مشوي مع كركم وليمون وخضار مشوية,38000,balanced,2.0,744.0,45.0,66.0,6.0,18.0,1301.0,Fish
107,سلطة الجمبري بالبرتقال,جمبري مشوي مع شرائح برتقال، خس، وجوز,42000,low_carb,5.0,665.0,41.0,60.0,10.0,23.0,268.0,Shellfish
108,مسقعة الفطر والعدس,باذنجان وفطر وعدس بني مع صلصة الطماطم والبهارات,28000,vegan,12.0,388.0,18.0,19.0,18.0,44.0,39.0,
109,كبّة البطاطا الحلوة,كبّة مصنوعة من البطاطا الحلوة والبرغل، محشية بالبصل والصنوبر,30000,vegetarian,12.0,744.0,49.0,14.0,13.0,69.0,118.0,
110,سلطة التين والجوز,تين طازج مع جوز، جبنة الماعز، وخضار ورقية,26000,vegetarian,25.0,774.0,61.0,25.0,9.0,37.0,1120.0,Dairy
111,سلطة البرتقال والرمان,برتقال، رمان، خس، ونعناع طازج مع صلصة خفيفة,22000,vegan,15.0,263.0,16.0,4.0,8.0,32.0,40.0,
112,كفتة الدجاج بالشوفان,كفتة دجاج مع شوفان بدلاً من الخبز، مشوية مع الخضار,34000,low_carb,0.0,766.0,30.0,74.0,10.0,50.0,180.0,Gluten
113,لحم بقري مشوي مع الخضار,لحم بقري قليل الدهن مشوي مع خضار مشوية وزيت الزيتون,45000,balanced,6.0,879.0,56.0,72.0,7.0,20.0,237.0,
114,شكشوكة بالسبانخ,بيض مسلوق مع سبانخ، طماطم، وفلفل حلو,20000,vegetarian,7.0,975.0,17.0,31.0,11.0,174.0,1693.0,Eggs
115,عجة الخضار بالشوفان,عجة مصنوعة من بياض البيض، شوفان، وخضار مشكلة,22000,low_carb,5.0,1212.0,23.0,41.0,18.0,212.0,1667.0,Eggs
116,شوربة الفاصوليا البيضاء بالكركم,فاصوليا بيضاء مع كركم، زنجبيل، وزيت الزيتون,18000,vegan,1.0,532.0,21.0,22.0,18.0,70.0,45.0,Eggs
117,حمص بالبنجر,حمص مع شمندر لزيادة القيمة الغذائية، مع زيت الزيتون,20000,vegan,17.0,511.0,20.0,20.0,18.0,66.0,99.0,Dairy
118,كوسا محشي باللحم المفروم قليل الدسم,كوسا محشية بلحم مفروم قليل الدهن وصلصة الطماطم,36000,low_carb,10.0,521.0,29.0,42.0,7.0,23.0,141.0,
119,سلطة الكينوا والدجاج,كينوا مع دجاج مشوي، خضار، وزيت الزيتون,38000,balanced,3.0,651.0,26.0,59.0,9.0,46.0,179.0,
120,سلطة الكينوا والرمان واللوز,كينوا، رمان، لوز، خضار ورقية، وصلصة ليمون,30000,vegetarian,15.0,690.0,44.0,19.0,14.0,63.0,13.0,Tree Nuts
121,شوربة العدس والزنجبيل,عدس بني مع زنجبيل طازج وكركم,19000,vegan,4.0,486.0,21.0,22.0,21.0,60.0,37.0,
122,شوربة الخضار بالزنجبيل,خضار مشكلة مع زنجبيل طازج ومرق خضار,17000,vegan,7.0,276.0,18.0,7.0,8.0,27.0,129.0,
123,شوفان بالتمر واللوز,شوفان كامل مع تمر مفروم ولوز وصوص عسل خفيف,22000,vegetarian,44.0,748.0,22.0,24.0,19.0,122.0,8.0,Tree Nuts
124,عجة البيض بالسبانخ والجبنة البيضاء,بيض مع سبانخ طازج وجبنة فيتا قليلة الدسم,25000,low_carb,5.0,1083.0,27.0,37.0,10.0,171.0,2245.0,Dairy
125,مناقيش الزعتر بالطحين الأسمر,عجينة طحين أسمر مع زعتر وزيت زيتون,18000,vegetarian,2.0,673.0,19.0,22.0,16.0,115.0,6.0,
126,سلطة الفريكة بالخضار,فريكة مع خيار، طماطم، ونعناع طازج,28000,vegan,5.0,326.0,15.0,9.0,12.0,42.0,30.0,
127,سلطة الجبنة البيضاء بالبطيخ,جبنة فيتا قليلة الدسم مع بطيخ ونعناع,30000,vegetarian,21.0,510.0,37.0,18.0,7.0,31.0,1131.0,Dairy
128,سلطة العدس الأسود بالرمان,عدس أسود مع رمان وجوز وصلصة ليمون,26000,vegan,17.0,680.0,42.0,26.0,22.0,60.0,6.0,Tree Nuts
129,شوربة الكرنب والعدس,كرنب وعدس بني مع بهارات دافئة,19000,vegan,6.0,388.0,19.0,18.0,16.0,43.0,46.0,
130,شوربة القرع والجزر بالكركم,قرع وجزر مع كركم وحليب جوز الهند,21000,vegan,12.0,363.0,26.0,6.0,9.0,36.0,92.0,Tree Nuts
131,شوربة الشعير بالدجاج,شعير كامل مع مرق دجاج قليل الدسم,23000,balanced,1.0,791.0,25.0,61.0,19.0,81.0,148.0,
132,مقلوبة الباذنجان النباتية,باذنجان وأرز بني مع خضار مشكلة,32000,vegetarian,11.0,409.0,15.0,7.0,9.0,60.0,10.0,
133,مسقعة الفاصوليا الخضراء,فاصوليا خضراء مع طماطم وثوم,27000,vegan,11.0,267.0,15.0,7.0,8.0,30.0,25.0,
134,كوسا محشية بالبرغل والجوز,كوسا محشية ببرغل وجوز وخضار,29000,vegetarian,9.0,574.0,40.0,18.0,14.0,41.0,17.0,Tree Nuts
135,سمك السلمون بالزعتر والليمون,سلمون مشوي مع زعتر طازج وليمون,48000,low_carb,0.0,667.0,47.0,56.0,1.0,5.0,149.0,Fish
136,جمبري بالثوم والكزبرة,جمبري طازج مع ثوم وكزبرة وزيت زيتون,45000,low_carb,0.0,438.0,16.0,63.0,2.0,12.0,326.0,Shellfish
137,سمك البلطي المشوي بالبهارات,بلطي مشوي مع بهارات عربية وخضار,42000,balanced,0.0,482.0,24.0,54.0,5.0,17.0,161.0,Fish
138,لحم ضأن مشوي مع الخضار,لحم ضأن قليل الدهن مع خضار مشوية,52000,low_carb,6.0,970.0,70.0,67.0,5.0,16.0,211.0,
