id,title,description,price_cents,diet_type,sugar,calories,fat,protein,fiber,carbohydrates,sodium,allergen_name
139,شيش طاووق بصوص الزبادي,مكعبات دجاج مشوية على أسياخ، متبلة بصوص الزبادي والثوم والأعشاب، تقدم مع سلطة الخيار والنعناع.,38000,low_carb,0.0,713.0,28.0,73.0,7.0,40.0,174.0,Gluten
140,ستيك لحم بقري بالخضار,ستيك لحم بقري قليل الدهن مع خضار,55000,balanced,3.0,990.0,64.0,85.0,6.0,17.0,285.0,
141,برغل بالخضار والليمون,برغل كامل مع خضار طازجة وليمون,24000,vegan,2.0,295.0,15.0,8.0,10.0,35.0,41.0,
142,أرز بني بالخضار والزعفران,أرز بني مع خضار وزعفران,26000,vegetarian,2.0,362.0,15.0,7.0,4.0,49.0,35.0,
143,فريكة بالدجاج والخضار,فريكة مع دجاج مشوي وخضار,35000,balanced,2.0,539.0,20.0,54.0,10.0,34.0,152.0,
144,مجلوبة الفول الأخضر,فول أخضر مع طماطم وبصل وليمون,22000,vegan,6.0,217.0,15.0,5.0,6.0,19.0,17.0,
145,حمص بالبقدونس والليمون,حمص مع بقدونس طازج وليمون,20000,vegan,10.0,483.0,20.0,20.0,17.0,58.0,42.0,
146,عدس بالسبانخ والليمون,عدس بني مع سبانخ وليمون,23000,vegan,4.0,392.0,16.0,21.0,18.0,45.0,83.0,
147,مهلبية بالحليب قليل الدسم,مهلبية مصنوعة من حليب قليل الدسم وقليل السكر,15000,vegetarian,16.0,199.0,1.0,21.0,8.0,30.0,79.0,
148,تمر محشي باللوز,تمر طازج محشي بلوز كامل,18000,vegan,317.0,1700.0,27.0,22.0,46.0,386.0,10.0,Tree Nuts
149,سلطة فواكه بالرمان والجوز,فواكه طازجة مع رمان وجوز,22000,vegan,38.0,483.0,26.0,13.0,13.0,58.0,5.0,Tree Nuts
150,سموثي السبانخ والمانجو,سبانخ مع مانجو ولبن زبادي,20000,vegetarian,24.0,172.0,1.0,14.0,4.0,30.0,117.0,Dairy
151,عصير الرمان والزنجبيل,رمان طازج مع زنجبيل,18000,vegan,24.0,178.0,2.0,3.0,8.0,41.0,8.0,
152,شاي أعشاب بالليمون والنعناع,شاي أعشاب مع ليمون ونعناع طازج,12000,vegan,5.0,93.0,1.0,4.0,10.0,25.0,19.0,
153,فتة العدس بالخبز المحمص,طبقة من العدس المطبوخ مع الثوم والكمون، مغطاة بقطع خبز محمصة ومزينة بالبقدونس وزيت الزيتون,22000,vegetarian,6.0,1146.0,36.0,43.0,26.0,170.0,1134.0,Gluten
154,سلطة البرغل بالخضار المشوية,برغل ممزوج بفلفل رومي مشوي، باذنجان، وطماطم مع صلصة ليمون وزيت زيتون,25000,vegetarian,11.0,467.0,30.0,8.0,13.0,44.0,19.0,
155,شوربة الفريكة بالدجاج,شوربة صحية من الفريكة مع قطع دجاج وخضار,28000,balanced,3.0,627.0,24.0,67.0,8.0,35.0,195.0,Gluten
156,محشي البندورة بالأرز واللحم,طماطم محشية بخليط من الأرز واللحم المفروم والبهارات,35000,balanced,10.0,779.0,41.0,50.0,8.0,53.0,164.0,Gluten
157,مسقعة الباميا باللحم,باميا مطهوة مع لحم ضأن وطماطم وبصل,38000,balanced,8.0,979.0,72.0,57.0,8.0,27.0,170.0,
158,سلطة الجرجير بالمانجو والجوز,جرجير طازج مع قطع مانجو وجوز وصلصة خفيفة,27000,vegetarian,25.0,593.0,49.0,12.0,7.0,38.0,34.0,Nuts
159,شيش برك بالسبانخ,عجينة محشية بالسبانخ والليمون والبهارات,30000,vegetarian,5.0,932.0,20.0,41.0,23.0,159.0,161.0,Gluten
160,كباب الحلة النباتي,كرات من الحمص والبرغل مع البهارات المشوية,25000,vegetarian,10.0,621.0,23.0,26.0,23.0,83.0,79.0,Gluten
161,شوربة الخضار بالشوفان,شوربة سميكة من الشوفان مع خضار مشكلة,18000,vegetarian,4.0,641.0,24.0,20.0,16.0,91.0,47.0,Gluten
162,سلطة الفول الأخضر بالليمون,فول أخضر مسلوق مع ثوم وليمون وزيت زيتون,20000,vegetarian,4.0,380.0,30.0,7.0,8.0,25.0,45.0,
163,مجبوس الجمبري,أرز بالزعفران مع جمبري طازج وبهارات,45000,balanced,1.0,596.0,19.0,56.0,4.0,53.0,266.0,Gluten
164,حمص بالشمندر,حمص مهروس ممزوج بالشمندر المشوي لإضافة لون وردي ونكهة حلوة، مع الطحينة، الثوم، وعصير الليمون.,19000,vegetarian,6.0,472.0,18.0,21.0,20.0,62.0,17.0,
165,سلطة الكينوا بالرمان واللوز,كينوا مطبوخة مع رمان ولوز وخضار ورقية,30000,vegetarian,9.0,789.0,59.0,19.0,13.0,55.0,26.0,Nuts
166,مقلوبة القرنبيط,بديل صحي للمقلوبة التقليدية باستخدام القرنبيط بدلاً من الأرز,32000,low_carb,10.0,1294.0,101.0,70.0,15.0,37.0,261.0,
167,شوربة الفطر الكريمية الصحية,شوربة فطر محضرة بحليب قليل الدسم أو حليب جوز الهند، مع الثوم والبصل.,21000,vegetarian,11.0,506.0,41.0,6.0,7.0,39.0,26.0,Tree Nuts
168,كباب الدجاج بالزبادي,دجاج متبل بالزبادي والبهارات المشوية,34000,low_carb,3.0,777.0,29.0,107.0,2.0,19.0,288.0,Dairy
169,تبولة بالبرغل الأسمر,سلطة نباتية منعشة من البرغل الأسمر، البقدونس المفروم، الطماطم، البصل، والنعناع، متبلة بزيت الزيتون وعصير الليمون. غنية بالألياف والفيتامينات.,22000,vegetarian,5.0,868.0,34.0,26.0,23.0,126.0,79.0,Gluten
170,فول بالخضار المشوية,فول مدمس مطبوخ ببطء ومتبل بالكمون والليمون، يزين بالخضار المشوية مثل الباذنجان والفلفل.,28000,vegetarian,14.0,493.0,30.0,16.0,16.0,44.0,19.0,
171,بابا غنوج بالزبيب,باذنجان مشوي ومهروس مع الطحينة، الثوم، والليمون، مزين بالزبيب لإضافة لمسة حلوة.,30000,vegetarian,12.0,932.0,67.0,17.0,15.0,76.0,143.0,Gluten
172,متبل الباذنجان بالجوز,باذنجان مشوي ومهروس مع الطحينة، الثوم، وعصير الليمون، مزين بالجوز المفروم ودبس الرمان.,18000,vegetarian,28.0,200.0,0.0,15.0,5.0,38.0,122.0,Dairy
173,مسخن الدجاج بالخبز البلدي,دجاج مشوي مع خبز بلدي، سماق، وبصل وزيت زيتون,32000,balanced,6.0,1345.0,43.0,113.0,8.0,123.0,1299.0,Gluten
174,شوربة العدس بالكركم والليمون,شوربة عدس غنية بالكركم وعصير الليمون الطازج,18000,vegan,6.0,574.0,33.0,20.0,20.0,55.0,12.0,
175,كباب الحلة باللوز,لحم ضأن مشوي مع لوز محمص وبهارات خاصة,45000,low_carb,2.0,1414.0,108.0,89.0,11.0,28.0,247.0,Nuts
176,سلطة الفريكة بالرمان,فريكة مع حبات الرمان والنعناع الطازج,25000,vegetarian,6.0,449.0,31.0,7.0,11.0,41.0,16.0,
177,مقلوبة الباذنجان باللحم البقري,أرز مع باذنجان مقلي ولحم بقري وبهارات,42000,balanced,7.0,1066.0,63.0,61.0,9.0,61.0,171.0,Gluten
178,شوربة الفطر بالكريمة,شوربة فطر طازج مع كريمة وزعتر,22000,vegetarian,6.0,273.0,16.0,18.0,3.0,20.0,50.0,Dairy
179,سلطة الكينوا بالخضار المشوية,كينوا مع خضار مشوية وصلصة الليمون,28000,vegetarian,7.0,509.0,33.0,10.0,8.0,44.0,31.0,
180,شيش طاووق بالزبادي والثوم,دجاج متبل بالزبادي والثوم المشوي,32000,low_carb,3.0,788.0,29.0,108.0,3.0,21.0,288.0,Dairy
181,مجبوس السمك بالزعفران,أرز بالزعفران مع سمك مشوي وخضار,48000,balanced,3.0,644.0,23.0,56.0,4.0,53.0,252.0,Gluten
182,سلطة الجبنة البيضاء بالزعتر,جبنة بيضاء مع زعتر وزيت زيتون وخبز محمص,23000,vegetarian,8.0,950.0,63.0,31.0,5.0,67.0,2213.0,Gluten
183,شوربة العدس الأحمر بالجزر,شوربة عدس أحمر مع جزر وكركم,17000,vegan,9.0,481.0,18.0,21.0,22.0,65.0,82.0,
184,كبدة مشوية بالليمون,كبدة ضأن مشوية مع عصير الليمون والبهارات,28000,low_carb,1.0,607.0,29.0,63.0,3.0,22.0,174.0,
185,سلطة الكرنب بالليمون,كرنب مفروم مع عصير الليمون وزيت الزيتون,18000,vegan,6.0,337.0,30.0,5.0,7.0,16.0,64.0,
186,مسقعة البطاطا باللحم,بطاطا مع لحم ضأن وطماطم وبصل,38000,balanced,7.0,1144.0,72.0,59.0,9.0,64.0,172.0,
187,شوربة الطماطم بالريحان,شوربة طماطم طازجة مع أوراق الريحان,19000,vegetarian,8.0,223.0,16.0,5.0,6.0,20.0,24.0,
188,سلطة التبولة بالبرغل,برغل مع البقدونس والنعناع والطماطم,20000,vegetarian,4.0,482.0,31.0,11.0,15.0,45.0,84.0,
189,كباب الدجاج بالبهارات,دجاج مشوي بخلطة بهارات خاصة,34000,low_carb,0.0,749.0,31.0,97.0,5.0,20.0,255.0,
190,شوربة الخضار بالشعيرية,شوربة خضار مع شعيرية ومرق دجاج,18000,balanced,4.0,577.0,19.0,17.0,7.0,87.0,62.0,Gluten
191,سلطة الفاصوليا البيضاء,فاصوليا بيضاء مع خل بلسمي وخضار,21000,vegetarian,6.0,441.0,16.0,18.0,14.0,57.0,18.0,Eggs
192,شاي الزنجبيل بالليمون,شاي أعشاب مع زنجبيل طازج وشرائح ليمون,12000,vegan,11.0,70.0,0.0,1.0,1.0,18.0,8.0,
193,مسقعة الباذنجان باللحم المفروم,باذنجان مشوي مع لحم مفروم وطماطم وبصل,38000,balanced,15.0,904.0,61.0,58.0,11.0,31.0,168.0,Gluten
194,شوربة العدس بالشعيرية,شوربة عدس مع شعيرية وخضار,18000,vegan,7.0,621.0,20.0,27.0,21.0,88.0,63.0,Gluten
195,كباب مشوي بالبهارات,لحم ضأن مشوي بخلطة بهارات خاصة,45000,low_carb,0.0,1562.0,119.0,104.0,5.0,20.0,321.0,
196,سلطة الكينوا العربية,الكينوا المطبوخة مخلوطة مع بقدونس، طماطم، بصل، وخيار، مع تتبيلة زيت الزيتون والليمون.,25000,vegetarian,5.0,445.0,30.0,9.0,10.0,39.0,43.0,
197,مقلوبة القرنبيط باللحم,قرنبيط بديل للأرز مع لحم ضأن وخضار,42000,low_carb,9.0,1055.0,78.0,61.0,12.0,36.0,270.0,
198,شوربة كريمة البروكلي,شوربة بروكلي مع كريمة وزعتر,22000,vegetarian,8.0,331.0,16.0,20.0,9.0,33.0,139.0,Dairy
199,سلطة الشمندر والجوز,شرائح شمندر مسلوقة، مع الجرجير، البصل الأحمر، والجوز، مع تتبيلة زيت الزيتون ودبس الرمان.,30000,vegetarian,9.0,793.0,59.0,19.0,13.0,56.0,26.0,Nuts
200,مجبوس الجمبري بالزعفران,أرز بالزعفران مع جمبري طازج وبهارات,48000,balanced,3.0,764.0,20.0,81.0,4.0,68.0,389.0,Gluten
201,سلطة الفتوش بالرمان,سلطة خضار مشكلة من الخيار، الطماطم، الخس، والفجل، مع قطع خبز محمص ورمان، متبلة بزيت الزيتون ودبس الرمان.,23000,vegetarian,10.0,1082.0,73.0,38.0,5.0,69.0,2771.0,Gluten
202,شوربة العدس بالخضروات,شوربة عدس غنية ومغذية مع الجزر، البطاطا، والكرفس، متبلة بالكركم والكمون.,18000,vegan,9.0,539.0,18.0,25.0,26.0,75.0,83.0,
203,مقلوبة الباذنجان والزهرة,طبق أرز مطبوخ مع طبقات من الباذنجان والزهرة المقلية، مع بهارات المقلوبة الشهيرة.,28000,low_carb,1.0,674.0,31.0,73.0,3.0,24.0,199.0,
204,تبولة الشمندر,سلطة تبولة كلاسيكية مع إضافة الشمندر المسلوق والمقطع، مما يمنحها لونًا غنيًا وحلاوة طبيعية.,19000,vegan,8.0,349.0,30.0,5.0,8.0,18.0,73.0,
205,كفتة مشوية بالباذنجان,كرات من لحم الضأن المفروم مع البصل والبقدونس، مشوية مع شرائح الباذنجان والطماطم.,38000,balanced,8.0,1330.0,82.0,72.0,10.0,73.0,211.0,
206,شوربة فطر بالكريمة قليلة الدسم,حساء دافئ وكريمي مصنوع من الفطر الطازج، الثوم، والبصل، مع كريمة قليلة الدسم لتقليل السعرات الحرارية.,19000,vegetarian,9.0,232.0,16.0,5.0,6.0,22.0,27.0,
207,شوربة الفطر والبصل,حساء صحي من الفطر والبصل، مطبوخ في مرق الخضار ومزين بالبقدونس الطازج.,21000,vegetarian,4.0,503.0,31.0,11.0,16.0,50.0,85.0,
208,مغربية بالدجاج,طبق من الكسكس المغربي المطبوخ مع قطع الدجاج، الجزر، والقرع.,19000,balanced,4.0,577.0,19.0,17.0,7.0,87.0,62.0,Gluten
209,سلطة الجرجير بالرمان والجوز,سلطة بسيطة لكنها غنية بالفوائد، من أوراق الجرجير، بذور الرمان، والجوز، مع تتبيلة زيت الزيتون والليمون.,22000,vegetarian,6.0,511.0,16.0,22.0,17.0,69.0,21.0,Eggs
210,مجدّرة الأرز الأسمر,طبق نباتي من الأرز الأسمر والعدس البني، مزين بالبصل المقلي المقرمش.,18000,vegan,13.0,555.0,21.0,24.0,26.0,76.0,108.0,
211,سمك مشوي بالثوم والليمون,سمك فيليه مشوي ومتبل بالثوم، الكزبرة، وعصير الليمون، يقدم مع الأرز البني.,52000,balanced,8.0,979.0,72.0,57.0,8.0,27.0,170.0,Fish
212,شاورما الدجاج بالخبز الأسمر,شرائح دجاج مشوية مع الثوم وصلصة الطحينة، تقدم في خبز بيتا من القمح الكامل.,34000,low_carb,3.0,788.0,29.0,108.0,3.0,21.0,288.0,
213,مقلوبة القرنبيط بالدجاج,قرنبيط بديل للأرز مع دجاج وخضار مشوية,38000,low_carb,0.0,882.0,63.0,75.0,0.0,0.0,216.0,
214,سلطة الكينوا مع الخيار والطماطم,سلطة بسيطة من الكينوا المطبوخة، مع الخيار والطماطم المفرومة، متبلة بزيت الزيتون والنعناع.,24000,vegetarian,12.0,744.0,49.0,14.0,13.0,69.0,118.0,Dairy
215,شوربة الفطر الكريمية الصحية,شوربة فطر محضرة بحليب قليل الدسم أو حليب جوز الهند، مع الثوم والبصل.,20000,vegan,17.0,705.0,43.0,29.0,24.0,64.0,33.0,Tree Nuts
216,محشي ورق عنب بالخضروات,ورق عنب محشو بالأرز، البصل، والبقدونس، مطبوخ بزيت الزيتون وعصير الليمون.,30000,vegetarian,4.0,482.0,31.0,11.0,15.0,45.0,84.0,
217,يخنة الفطر والبصل,فطر طازج مطبوخ مع البصل في مرق خضار، يقدم مع الأرز الأسمر.,26000,vegetarian,11.0,467.0,30.0,8.0,13.0,44.0,19.0,Dairy
218,قوزي الدجاج الصحي,دجاج مشوي محشو بالأرز الأسمر والمكسرات، طبق عراقي تقليدي صحي.,34000,low_carb,0.0,713.0,28.0,73.0,7.0,40.0,174.0,Gluten
219,شوربة الفريكة بالخضار,فريكة مع خضار مشكلة ومرق خضار,22000,vegan,13.0,555.0,21.0,24.0,26.0,76.0,108.0,
220,مسخن الدجاج بالخبز الأسمر,دجاج مشوي مع خبز قمح كامل، سماق، وبصل وزيت زيتون,32000,balanced,4.0,894.0,37.0,63.0,8.0,76.0,690.0,Gluten
221,سلطة البرغل بالرمان,برغل مع رمان وجوز وصلصة ليمون,25000,vegetarian,15.0,544.0,42.0,16.0,12.0,36.0,43.0,Tree Nuts
222,سلطة الفتوش مع الجبن,سلطة فتوش كلاسيكية مع إضافة مكعبات من الجبن قليل الدسم، مثل الفيتا.,19000,vegan,8.0,618.0,20.0,19.0,25.0,98.0,139.0,
223,متبل الشمندر والجوز,باذنجان مشوي ومهروس مع الشمندر المسلوق، الطحينة، والجوز المفروم.,48000,balanced,4.0,1098.0,81.0,79.0,4.0,13.0,249.0,Shellfish
224,فلافل بالخضار الطازجة,أقراص فلافل مخبوزة بالفرن بدلاً من القلي، تقدم في خبز بيتا من القمح الكامل مع الخس، الطماطم، والطحينة.,20000,vegan,317.0,1700.0,27.0,22.0,46.0,386.0,10.0,
225,شوربة العدس والكركم,عدس بني مع كركم وكمون وزيت زيتون,17000,vegan,15.0,263.0,16.0,4.0,8.0,32.0,40.0,
226,دجاج بالكاري والكزبرة,دجاج مطهو ببهارات الكاري والكزبرة الطازجة,36000,balanced,3.0,990.0,64.0,85.0,6.0,17.0,285.0,
227,سلطة الزهرة المشوية بالطحينة,زهرة (قرنبيط) مشوية بالفرن، تقدم مع صلصة طحينة، بقدونس، وصنوبر محمص.,23000,vegan,7.0,276.0,18.0,7.0,8.0,27.0,129.0,Tree Nuts
228,سلطة تبولة الكينوا,تبولة صحية ولذيذة، مصنوعة من الكينوا بدلاً من البرغل، مع البقدونس المفروم، الطماطم، والبصل.,32000,vegetarian,5.0,868.0,34.0,26.0,23.0,126.0,79.0,
229,يخني الكوسا بالنعناع,يخنة كوسا مطبوخة بمرق اللحم مع الثوم والكزبرة والنعناع المجفف، تقدم مع خبز القمح الكامل.,22000,vegetarian,19.0,356.0,17.0,8.0,7.0,48.0,36.0,
230,عدس بحامض بالبطاطا,شوربة عدس أصفر مطبوخة مع مكعبات بطاطا، ثوم، وكزبرة، متبلة بالليمون.,25000,vegetarian,3.0,429.0,30.0,8.0,10.0,35.0,41.0,Gluten
231,صيادية السمك,سمك فيليه مطبوخ مع الأرز البني والبصل المقلي، متبل بالكمون والكركم.,38000,balanced,3.0,651.0,26.0,59.0,9.0,46.0,179.0,Fish
232,سلطة تبولة الكينوا,تبولة صحية ولذيذة، مصنوعة من الكينوا بدلاً من البرغل، مع البقدونس المفروم، الطماطم، والبصل.,42000,low_carb,6.0,584.0,25.0,69.0,7.0,20.0,210.0,Shellfish
233,سلطة الجرجير بالرمان والجوز,سلطة بسيطة لكنها غنية بالفوائد، من أوراق الجرجير، بذور الرمان، والجوز، مع تتبيلة زيت الزيتون والليمون.,18000,vegetarian,40.0,693.0,42.0,21.0,37.0,75.0,24.0,
234,سلطة الفريكة بالخضار المشوية,فريكة مع فلفل رومي مشوي، باذنجان، وطماطم,25000,vegetarian,1.0,272.0,15.0,4.0,8.0,31.0,110.0,
235,شوربة الحريرة المغربية,شوربة غنية ومغذية من الحمص، العدس، الطماطم، والكرفس، متبلة بالبهارات الدافئة.,25000,vegetarian,11.0,246.0,16.0,13.0,4.0,16.0,51.0,
236,بامية باللحم الخالي من الدهون,بامية مطبوخة مع قطع لحم بقري قليل الدهن في صلصة طماطم وثوم.,18000,vegan,4.0,443.0,19.0,22.0,18.0,52.0,32.0,Eggs
237,فتة المكدوس,طبق من الباذنجان المحشو بالجوز، فوق خبز محمص ولبن زبادي، مزين بالصنوبر والزيتون.,20000,vegan,13.0,555.0,21.0,24.0,26.0,76.0,108.0,Dairy
238,حمص باللحمة المفرومة,حمص بطحينة يعلوه لحم مفروم قليل الدهن مطبوخ مع البصل والصنوبر.,36000,low_carb,9.0,1055.0,78.0,61.0,12.0,36.0,270.0,
239,مندي الدجاج الصحي,دجاج متبل ببهارات المندي ومشوي بالفرن، يقدم مع أرز المندي المطبوخ بمرق الدجاج.,38000,balanced,4.0,577.0,19.0,17.0,7.0,87.0,62.0,
240,سلطة الفاصوليا البيضاء,فاصوليا بيضاء مسلوقة مع البصل، البقدونس، والزيتون، متبلة بزيت الزيتون والليمون.,30000,vegetarian,15.0,690.0,44.0,19.0,14.0,63.0,13.0,Tree Nuts
241,فول بالطحينة والليمون,فول مدمس مهروس مع الطحينة، الثوم، وعصير الليمون، طبق إفطار صحي.,19000,vegan,11.0,443.0,33.0,8.0,11.0,35.0,42.0,
242,يخنة الفطر والبصل,فطر طازج مطبوخ مع البصل في مرق خضار، يقدم مع الأرز الأسمر.,17000,vegan,9.0,539.0,18.0,25.0,26.0,75.0,83.0,
243,خبز الصاج بالزعتر والزيتون,خبز الصاج من القمح الكامل، مغطى بالزعتر وزيت الزيتون، مع شرائح الزيتون الأسود.,22000,vegetarian,14.0,654.0,57.0,17.0,4.0,22.0,1496.0,Tree Nuts
244,كبة اليقطين,كبة مصنوعة من اليقطين المهروس والبرغل، محشوة بالبصل والجوز.,25000,low_carb,0.0,1071.0,81.0,78.0,2.0,7.0,241.0,Dairy
245,مقلوبة الفطر والزهرة,أرز مطبوخ مع الفطر والزهرة، مع بهارات المقلوبة الشهيرة.,18000,vegetarian,3.0,429.0,30.0,8.0,10.0,35.0,41.0,
246,سلطة الفتوش مع الجبن,سلطة فتوش كلاسيكية مع إضافة مكعبات من الجبن قليل الدسم، مثل الفيتا.,28000,vegan,4.0,443.0,19.0,22.0,18.0,52.0,32.0,
247,تبولة الشمندر بالنعناع الطازج,سلطة تبولة كلاسيكية مع إضافة الشمندر المسلوق، مما يمنحها لونًا غنيًا وحلاوة طبيعية، ومزينة بالنعناع الطازج.,30000,vegetarian,5.0,300.0,15.0,4.0,4.0,37.0,15.0,Dairy
248,مجدرة البرغل الأسمر,طبق نباتي من البرغل الأسمر والعدس، مزين بالبصل المقلي.,26000,vegan,6.0,337.0,30.0,5.0,7.0,16.0,64.0,Tree Nuts
